,Unnamed: 0.1,timestamp,Unnamed: 0,lap,heart_rate,cadence,distance,enhanced_altitude,enhanced_speed,calories,power,temperature,fractional_cadence,alt_difference,rolling_ave_alt
0,0,2021-03-24 21:40:55+00:00,0.0,1.0,81.0,57.0,1.38,275.20000000000005,1.176,21.0,21.0,21.0,0.0,0.0,0.4
1,1,2021-03-24 21:40:56+00:00,1.0,1.0,81.0,57.0,2.58,275.20000000000005,1.194,21.0,21.0,21.0,0.0,0.0,0.4
2,2,2021-03-24 21:40:57+00:00,2.0,1.0,81.0,57.0,3.76,275.20000000000005,1.269,21.0,21.0,21.0,0.0,0.0,0.4
3,3,2021-03-24 21:40:58+00:00,3.0,1.0,81.0,111.0,5.63,275.20000000000005,1.353,21.0,21.0,21.0,0.0,0.0,0.4
4,4,2021-03-24 21:40:59+00:00,4.0,1.0,81.0,111.0,7.97,275.6,1.922,21.0,21.0,21.0,0.0,0.39999999999997726,0.4
5,5,2021-03-24 21:41:00+00:00,5.0,1.0,81.0,111.0,11.01,277.20000000000005,2.37,21.0,21.0,21.0,0.0,1.6000000000000227,0.4
6,6,2021-03-24 21:41:01+00:00,6.0,1.0,82.0,91.0,13.9,277.20000000000005,2.566,21.0,21.0,21.0,0.0,0.0,0.4
7,7,2021-03-24 21:41:02+00:00,7.0,1.0,82.0,91.0,17.59,277.4,2.715,21.0,21.0,21.0,0.0,0.1999999999999318,0.43999999999998635
8,8,2021-03-24 21:41:03+00:00,8.0,1.0,82.0,91.0,20.51,277.4,2.781,21.0,21.0,21.0,0.0,0.0,0.43999999999998635
9,9,2021-03-24 21:41:04+00:00,9.0,1.0,81.0,92.0,23.33,277.4,2.855,21.0,21.0,21.0,0.5,0.0,0.3599999999999909
10,10,2021-03-24 21:41:05+00:00,10.0,1.0,82.0,92.0,26.04,277.4,2.976,21.0,21.0,21.0,0.5,0.0,0.03999999999998636
11,11,2021-03-24 21:41:06+00:00,11.0,1.0,82.0,92.0,28.85,277.6,3.07,24.0,24.0,24.0,0.0,0.20000000000004547,0.07999999999999545
12,12,2021-03-24 21:41:07+00:00,12.0,1.0,83.0,92.0,31.66,277.6,3.07,24.0,24.0,24.0,0.0,0.0,0.0400000000000091
13,13,2021-03-24 21:41:08+00:00,13.0,1.0,84.0,92.0,33.85,277.79999999999995,2.93,24.0,24.0,24.0,0.0,0.1999999999999318,0.07999999999999545
14,14,2021-03-24 21:41:09+00:00,14.0,1.0,84.0,92.0,36.91,277.79999999999995,2.809,24.0,24.0,24.0,0.0,0.0,0.07999999999999545
15,15,2021-03-24 21:41:10+00:00,15.0,1.0,88.0,92.0,39.34,277.79999999999995,2.715,24.0,24.0,24.0,0.0,0.0,0.07999999999999545
16,16,2021-03-24 21:41:11+00:00,16.0,1.0,91.0,95.0,41.84,278.4,2.706,24.0,24.0,24.0,0.5,0.6000000000000227,0.1599999999999909
17,17,2021-03-24 21:41:12+00:00,17.0,1.0,94.0,95.0,44.68,278.4,2.697,24.0,24.0,24.0,0.5,0.0,0.1599999999999909
18,18,2021-03-24 21:41:13+00:00,18.0,1.0,96.0,95.0,47.59,278.6,2.734,24.0,24.0,24.0,0.5,0.20000000000004547,0.16000000000001363
19,19,2021-03-24 21:41:14+00:00,19.0,1.0,97.0,95.0,50.64,278.6,2.771,24.0,24.0,24.0,0.5,0.0,0.16000000000001363
20,20,2021-03-24 21:41:15+00:00,20.0,1.0,97.0,93.0,53.47,279.4,2.827,24.0,24.0,24.0,0.5,0.7999999999999545,0.32000000000000456
21,21,2021-03-24 21:41:16+00:00,21.0,1.0,100.0,93.0,56.31,279.4,2.837,24.0,24.0,24.0,0.0,0.0,0.2
22,22,2021-03-24 21:41:17+00:00,22.0,1.0,102.0,93.0,58.75,280.0,2.855,24.0,24.0,24.0,0.0,0.6000000000000227,0.32000000000000456
23,23,2021-03-24 21:41:18+00:00,23.0,1.0,103.0,93.0,61.3,280.0,2.855,24.0,24.0,24.0,0.0,0.0,0.2799999999999955
24,24,2021-03-24 21:41:19+00:00,24.0,1.0,105.0,93.0,63.87,280.20000000000005,2.837,24.0,24.0,24.0,0.0,0.20000000000004547,0.32000000000000456
25,25,2021-03-24 21:41:20+00:00,25.0,1.0,107.0,94.0,66.14,280.20000000000005,2.827,24.0,24.0,24.0,0.0,0.0,0.16000000000001363
26,26,2021-03-24 21:41:21+00:00,26.0,1.0,109.0,94.0,68.64,280.20000000000005,2.818,24.0,24.0,24.0,0.0,0.0,0.16000000000001363
27,27,2021-03-24 21:41:22+00:00,27.0,1.0,110.0,95.0,71.3,280.4,2.799,24.0,24.0,24.0,0.0,0.1999999999999318,0.07999999999999545
28,28,2021-03-24 21:41:23+00:00,28.0,1.0,112.0,95.0,74.05,280.79999999999995,2.79,24.0,24.0,24.0,0.0,0.39999999999997726,0.1599999999999909
29,29,2021-03-24 21:41:24+00:00,29.0,1.0,114.0,95.0,76.58,281.79999999999995,2.781,24.0,24.0,24.0,0.0,1.0,0.3199999999999818
30,30,2021-03-24 21:41:25+00:00,30.0,1.0,115.0,94.0,79.19,281.79999999999995,2.762,24.0,24.0,24.0,0.0,0.0,0.3199999999999818
31,31,2021-03-24 21:41:26+00:00,31.0,1.0,117.0,94.0,81.81,281.79999999999995,2.734,24.0,24.0,24.0,0.0,0.0,0.3199999999999818
32,32,2021-03-24 21:41:27+00:00,32.0,1.0,118.0,93.0,84.33,281.79999999999995,2.725,24.0,24.0,24.0,0.0,0.0,0.2799999999999955
33,33,2021-03-24 21:41:28+00:00,33.0,1.0,120.0,93.0,86.77,281.79999999999995,2.687,24.0,24.0,24.0,0.0,0.0,0.2
34,34,2021-03-24 21:41:29+00:00,34.0,1.0,122.0,93.0,88.78,281.79999999999995,2.669,24.0,24.0,24.0,0.0,0.0,0.0
35,35,2021-03-24 21:41:30+00:00,35.0,1.0,124.0,94.0,91.1,282.4,2.641,24.0,24.0,24.0,0.0,0.6000000000000227,0.12000000000000455
36,36,2021-03-24 21:41:31+00:00,36.0,1.0,126.0,93.0,91.1,283.0,2.613,24.0,24.0,24.0,0.5,0.6000000000000227,0.2400000000000091
37,37,2021-03-24 21:41:33+00:00,37.0,1.0,128.0,93.0,93.46,283.20000000000005,2.603,24.0,24.0,24.0,0.5,0.20000000000004547,0.2800000000000182
